,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1771,Maruti Vitara Brezza VDi Option,Coimbatore,2017,71256,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.58
1772,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,14.28,1798.0,138.03,5.0,6.22
1773,Mahindra XUV500 W8 2WD,Kolkata,2013,87284,Diesel,Manual,First,15.1,2179.0,88.8,7.0,7.8
1774,BMW X1 xDrive 20d xLine,Mumbai,2016,7000,Diesel,Automatic,First,20.68,1995.0,88.8,5.0,27.75
1775,Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,7.0
1776,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,64.87
1777,Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,17.3,1998.0,163.7,5.0,6.5
1778,Hyundai i20 1.2 Magna,Jaipur,2011,82000,Petrol,Manual,Second,18.5,1197.0,88.8,5.0,2.7
1779,Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,2.5
1780,Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1461.0,84.8,7.0,3.9
1781,Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,58000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.95
1782,Hyundai i10 Sportz 1.2,Chennai,2010,77000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.1
1783,Chevrolet Cruze LTZ AT,Pune,2009,73204,Diesel,Automatic,Third,18.1,1991.0,147.9,4.0,3.5
1784,Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0
1785,Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.35
1786,Honda Amaze S i-Dtech,Delhi,2013,90000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.8
1787,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595.0,88.8,5.0,17.25
1788,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.53
1789,Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,Third,20.36,1197.0,78.9,5.0,1.95
1790,Maruti Swift DDiS ZDI Plus,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1248.0,88.8,5.0,8.2
1791,Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,First,13.0,1343.0,88.8,5.0,0.9
1792,Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,2013,255000,Diesel,Manual,Third,12.99,2494.0,100.6,7.0,6.5
1793,Mini Cooper Countryman D High,Coimbatore,2014,45535,Diesel,Automatic,First,23.8,1998.0,88.8,5.0,19.41
1794,Fiat Linea T-Jet Active,Coimbatore,2016,39228,Petrol,Manual,First,15.7,1368.0,112.4,5.0,6.58
1795,Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,Second,14.49,1399.0,92.7,5.0,2.1
1796,Hyundai i10 Era 1.1,Chennai,2008,85445,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.0
1797,Hyundai Xcent 1.1 CRDi Base,Delhi,2015,54000,Diesel,Manual,First,24.4,1120.0,88.8,5.0,3.7
1798,Maruti Celerio VXI AT,Mumbai,2014,53000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,3.8
1799,Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.25
1800,Renault Duster 85PS Diesel RxL,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.53
1801,BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995.0,88.8,5.0,10.9
1802,Hyundai Grand i10 Sportz,Kolkata,2018,1800,Petrol,Manual,First,18.9,1197.0,88.8,5.0,5.1
1803,Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,Second,18.0,995.0,88.8,5.0,1.6
1804,Honda City i VTEC VX Option,Ahmedabad,2018,14000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,11.25
1805,Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.9
1806,Toyota Fortuner 4x2 4 Speed AT,Delhi,2012,73000,Diesel,Automatic,First,11.5,2982.0,88.8,7.0,14.4
1807,Honda City 1.5 S MT,Delhi,2011,68000,Petrol,Manual,First,17.0,1497.0,88.8,5.0,3.6
1808,BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,19543,Diesel,Automatic,First,18.12,1995.0,88.8,5.0,40.5
1809,Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,Diesel,Automatic,Second,14.16,1968.0,174.3,5.0,38.95
1810,Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.6
1811,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2016,44782,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.12
1812,Honda City i DTEC SV,Kochi,2016,55700,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.52
1813,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,60000,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,10.35
1814,Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,56000,Petrol,Manual,First,15.0,1598.0,103.52,5.0,7.0
1815,Toyota Fortuner 3.0 Diesel,Delhi,2011,60000,Diesel,Manual,First,11.5,2982.0,88.8,7.0,10.85
1816,Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,16.52,1991.0,123.7,5.0,2.35
1817,Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196.0,88.8,7.0,2.9
1818,Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.65
1819,Maruti Ciaz VDi Plus SHVS,Delhi,2016,66000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.4
1820,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,102418,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.1
1821,Maruti Swift Dzire VXI,Kolkata,2014,48800,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.25
1822,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.65
1823,Tata Indica V2 eLX,Pune,2017,8200,Diesel,Manual,First,25.0,1396.0,88.8,5.0,4.4
1824,Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,18.5,1197.0,82.85,5.0,3.25
1825,Ford Fiesta 1.4 Duratorq ZXI,Pune,2012,78000,Diesel,Manual,First,17.8,1399.0,88.8,5.0,2.8
1826,Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,2015,50000,Diesel,Manual,First,18.2,1248.0,73.74,8.0,4.3
1827,Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,89327,Diesel,Manual,Third,17.8,1399.0,88.8,5.0,1.55
1828,Honda CR-V 2.4 MT,Chennai,2007,98000,Petrol,Manual,Second,10.8,2354.0,88.8,5.0,4.7
1829,Honda Jazz 1.2 VX i VTEC,Kochi,2017,24700,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.07
1830,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,Diesel,Automatic,First,11.0,2987.0,88.8,7.0,79.0
1831,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.75
1832,Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.25
1833,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,First,22.0,1498.0,108.495,5.0,8.89
1834,Honda City i VTEC SV,Mumbai,2015,73070,Petrol,Manual,First,17.4,1497.0,117.3,5.0,5.9
1835,Honda Jazz 1.2 S i VTEC,Kolkata,2016,21771,Petrol,Manual,First,18.7,1199.0,88.7,5.0,4.95
1836,Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,First,17.8,1248.0,88.8,5.0,3.75
1837,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,10.97
1838,Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,Diesel,Automatic,Second,14.4,2967.0,241.4,5.0,24.94
1839,Hyundai EON D Lite Plus,Kolkata,2014,26008,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.97
1840,Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,Second,20.0,1399.0,88.8,5.0,1.4
1841,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1198.0,73.75,5.0,7.27
1842,Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4.0
1843,Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,First,18.7,1199.0,88.7,5.0,4.75
1844,Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,First,17.0,1197.0,88.8,5.0,5.1
1845,Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,16.11
1846,Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,First,11.18,2696.0,88.8,7.0,10.55
1847,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755.0,174.5,7.0,30.0
1848,Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,69000,Diesel,Manual,First,18.7,1896.0,88.8,5.0,1.6
1849,Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,First,15.8,2148.0,88.8,5.0,18.49
1850,Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.96
1851,Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,Second,22.9,1248.0,88.8,5.0,4.75
1852,Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,Third,13.1,2446.0,88.8,10.0,3.65
1853,BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,49000,Diesel,Automatic,Second,16.73,2495.0,88.8,5.0,15.5
1854,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,48272,Diesel,Manual,First,10.5,2835.0,116.9,6.0,11.82
1855,Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,First,13.4,1794.0,88.8,5.0,2.05
1856,Maruti Omni E MPI STD BS IV,Mumbai,2013,11734,Petrol,Manual,First,16.8,796.0,34.2,8.0,2.25
1857,Audi A6 2011-2015 2.0 TDI,Kochi,2014,62012,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.12
1858,Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.48
1859,Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,Second,10.5,1796.0,157.7,5.0,5.5
1860,Honda City 1.5 EXI,Jaipur,2005,88000,Petrol,Manual,Second,13.0,1493.0,88.8,5.0,1.7
1861,Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,13.19
1862,Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,3.85
1863,Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,28.4,1248.0,73.75,5.0,5.75
1864,Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,First,15.1,2179.0,88.8,7.0,9.0
1865,Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,First,18.6,1199.0,79.4,5.0,2.21
1866,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.09
1867,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,First,14.69,2993.0,88.8,5.0,48.63
1868,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,Second,14.16,1968.0,174.3,5.0,39.47
1869,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995.0,88.8,5.0,22.24
1870,Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,19.2,1197.0,88.8,5.0,2.6
1871,Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,12.0
1872,Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,70000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,18.0
1873,Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,55000,Petrol,Automatic,Third,10.13,3498.0,364.9,5.0,9.99
1874,Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.45
1875,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,8.99
1876,Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.15
1877,Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248.0,73.75,5.0,8.2
1878,Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1997.0,88.8,7.0,11.5
1879,Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.3
1880,Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.59
1881,Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.15
1882,Mahindra Scorpio S6 7 Seater,Kolkata,2015,52373,Diesel,Manual,Second,15.4,2179.0,88.8,7.0,8.5
1883,Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,66285,Diesel,Manual,First,19.5,1199.0,88.8,5.0,3.0
1884,BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,First,15.3,2993.0,88.8,5.0,21.0
1885,Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.75
1886,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,Diesel,Automatic,First,10.0,2148.0,88.8,5.0,23.0
1887,Mahindra XUV500 AT W10 FWD,Mumbai,2016,41000,Diesel,Automatic,First,16.0,2179.0,88.8,7.0,13.75
1888,Honda City i VTEC CVT SV,Kochi,2017,39430,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,8.29
1889,Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,22.9,1248.0,88.8,5.0,5.79
1890,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,First,14.84,2143.0,88.8,5.0,30.5
1891,Honda City 1.5 S MT,Mumbai,2011,49999,Petrol,Manual,First,17.0,1497.0,88.8,5.0,3.8
1892,Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,First,15.3,2956.0,83.8,7.0,4.45
1893,Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,First,18.5,1197.0,82.85,5.0,3.3
1894,Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,Second,20.4,1248.0,91.2,5.0,1.75
1895,Honda Civic 2006-2010 1.8 V AT,Bangalore,2011,72000,Petrol,Automatic,Second,12.9,1799.0,88.8,5.0,5.5
1896,Hyundai Creta 1.6 SX Plus Diesel,Pune,2017,44865,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.35
1897,Audi A3 35 TDI Technology,Delhi,2017,22000,Diesel,Automatic,Second,20.38,1968.0,88.8,5.0,22.5
1898,Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,Second,17.0,1591.0,121.3,5.0,5.25
1899,Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,75000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3.75
1900,Honda Mobilio S i DTEC,Kochi,2015,50624,Diesel,Manual,First,24.2,1498.0,98.6,7.0,6.32
1901,Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,7.75
1902,Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,87000,Petrol,Manual,Second,15.3,1596.0,88.8,5.0,1.37
1903,Hyundai i10 Sportz 1.2,Mumbai,2010,62000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.1
1904,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.3
1905,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,70000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.0
1906,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,First,17.9,2143.0,88.8,5.0,23.5
1907,Maruti Alto LXi BSIII,Hyderabad,2006,71993,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.8
1908,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,62000,Diesel,Automatic,Second,14.84,2143.0,88.8,5.0,12.5
1909,Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,22.9,1248.0,88.8,5.0,4.74
1910,Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,First,18.9,1197.0,88.8,5.0,5.43
1911,Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,Second,12.55,2982.0,168.5,7.0,31.62
1912,Toyota Innova 2.0 GX 8 STR,Kolkata,2011,78088,Petrol,Manual,First,12.4,1998.0,88.8,8.0,6.3
1913,Ford EcoSport 1.5 TDCi Titanium,Kochi,2017,30453,Diesel,Manual,First,22.77,1498.0,98.59,5.0,8.45
1914,Ford Figo 1.2P Titanium MT,Pune,2016,54000,Petrol,Manual,First,18.16,1196.0,86.8,5.0,5.0
1915,Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,First,11.5,2982.0,88.8,7.0,13.0
1916,Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.7
1917,BMW 7 Series 740Li,Coimbatore,2018,28060,Petrol,Automatic,First,12.05,2979.0,88.8,5.0,93.67
1918,Skoda Superb 1.8 TSI MT,Pune,2012,282000,Petrol,Manual,First,13.14,1798.0,88.8,5.0,3.3
1919,Maruti Wagon R LXI Minor,Jaipur,2009,111000,Petrol,Manual,Second,18.9,1061.0,88.8,5.0,1.51
1920,Renault Duster 110PS Diesel RxZ,Kochi,2013,63295,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.09
1921,Maruti Ciaz VXi Plus,Mumbai,2015,35770,Petrol,Manual,First,20.73,1373.0,91.1,5.0,5.95
1922,Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,22.7,1582.0,126.24,5.0,9.0
1923,Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,45000,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,4.25
1924,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,21000,Diesel,Automatic,First,14.84,2143.0,88.8,5.0,23.5
1925,Honda Accord 2.4 A/T,Mumbai,2011,54774,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,6.35
1926,Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,First,23.1,998.0,67.04,5.0,3.4
1927,BMW 7 Series 740Li,Bangalore,2017,17465,Petrol,Automatic,First,12.05,2979.0,88.8,5.0,93.0
1928,BMW 3 Series 320d Sport,Chennai,2014,48000,Diesel,Automatic,First,22.69,1995.0,88.8,5.0,21.6
1929,Volkswagen Vento Diesel Trendline,Chennai,2011,173000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.0
1930,Maruti Swift Dzire Tour LDI,Pune,2018,12000,Diesel,Manual,First,23.4,1248.0,88.8,5.0,5.5
1931,Land Rover Freelander 2 SE,Mumbai,2012,34000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,19.25
1932,Hyundai i20 1.4 CRDi Magna,Hyderabad,2012,71360,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3.95
1933,Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,28.4,1248.0,73.75,5.0,4.25
1934,Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,First,17.1,1956.0,88.8,5.0,17.02
1935,Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.5
1936,Ford Figo Petrol ZXI,Bangalore,2011,68465,Petrol,Manual,First,15.6,1196.0,88.8,5.0,2.95
1937,Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,Diesel,Manual,First,21.43,1364.0,86.79,5.0,7.12
1938,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,Diesel,Automatic,First,24.3,1248.0,88.5,5.0,11.25
1939,Honda City 1.5 S MT,Delhi,2009,65055,Petrol,Manual,First,17.0,1497.0,88.8,5.0,2.75
1940,Mahindra Scorpio S10 4WD,Hyderabad,2015,120000,Diesel,Manual,First,15.4,2179.0,88.8,7.0,12.0
1941,Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,First,20.14,1197.0,81.86,5.0,3.67
1942,Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,2200,Petrol,Manual,First,15.7,1390.0,88.8,5.0,2.3
1943,Skoda Octavia 1.9 TDI,Pune,2008,88123,Diesel,Manual,First,18.7,1896.0,88.8,5.0,2.2
1944,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2014,79000,Diesel,Automatic,First,12.0,2987.0,88.8,7.0,41.0
1945,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,First,20.68,1995.0,88.8,5.0,28.5
1946,Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,2015,23001,Petrol,Manual,First,15.04,1598.0,103.2,5.0,5.49
1947,Audi A4 2.0 TDI,Ahmedabad,2013,82002,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,17.5
1948,Ford Ikon 1.4 TDCi DuraTorq,Bangalore,2009,75000,Diesel,Manual,First,13.8,1399.0,88.8,5.0,1.99
1949,Hyundai Verna 1.6 CRDi EX MT,Kochi,2016,37451,Diesel,Manual,First,22.32,1582.0,126.3,5.0,6.64
1950,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,16.5
1951,Hyundai Grand i10 Asta Option,Pune,2016,25000,Petrol,Manual,First,18.9,1197.0,88.8,5.0,5.0
1952,Volkswagen Ameo 1.2 MPI Comfortline,Mumbai,2017,12000,Petrol,Manual,First,17.0,1198.0,73.75,5.0,5.4
1953,Renault KWID RXT,Kolkata,2017,25000,Petrol,Manual,First,25.17,799.0,53.3,5.0,2.99
1954,Honda City 1.5 S MT,Jaipur,2011,95936,Petrol,Manual,First,17.0,1497.0,88.8,5.0,4.1
1955,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.76
1956,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,Second,18.78,999.0,88.8,5.0,5.5
1957,Maruti Swift VDI BSIV,Coimbatore,2014,44282,Diesel,Manual,First,25.2,1248.0,88.8,5.0,5.99
1958,Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,70000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,2.59
1959,Jaguar XF 2.2 Litre Luxury,Mumbai,2013,31400,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,26.75
1960,Maruti Ciaz ZDi SHVS,Pune,2016,50000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.5
1961,Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,53000,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,23.0
1962,Ford Figo Petrol ZXI,Pune,2014,21727,Petrol,Manual,First,15.6,1196.0,70.02,5.0,3.35
1963,Hyundai Santa Fe 4x4 AT,Bangalore,2012,43000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,10.75
1964,Mahindra Scorpio VLX 2WD AIRBAG BSIV,Kolkata,2013,75000,Diesel,Manual,First,12.05,2179.0,88.8,8.0,6.29
1965,Renault Duster 110PS Diesel RxL,Bangalore,2014,73557,Diesel,Manual,First,19.6,1461.0,108.45,5.0,7.75
1966,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,44555,Diesel,Automatic,First,15.2,1968.0,140.8,5.0,13.5
1967,Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,First,15.1,1196.0,88.8,7.0,3.75
1968,Mahindra Xylo E4,Mumbai,2011,76000,Diesel,Manual,Second,14.0,2498.0,88.8,7.0,3.75
1969,Maruti Wagon R LXI,Jaipur,2006,101000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.5
1970,Maruti Wagon R LXI BSIII,Chennai,2005,66000,Petrol,Manual,First,14.0,1061.0,88.8,5.0,1.45
1971,Maruti SX4 ZXI MT BSIV,Coimbatore,2013,84360,Petrol,Manual,First,15.5,1586.0,103.3,5.0,4.12
1972,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,First,13.68,2393.0,147.8,7.0,17.11
1973,Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,100000,Diesel,Manual,Second,12.99,2494.0,100.6,7.0,10.25
1974,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66035,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.49
1975,Toyota Etios G,Pune,2015,190000,Petrol,Manual,Second,16.78,1496.0,88.73,5.0,3.85
1976,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,85670,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.25
1977,Hyundai Grand i10 CRDi Magna,Hyderabad,2015,35000,Diesel,Manual,First,24.0,1120.0,88.8,5.0,4.88
1978,Honda City i VTEC CVT SV,Mumbai,2016,8000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.45
1979,Toyota Innova 2.5 G3,Hyderabad,2007,162000,Diesel,Manual,Second,12.8,2494.0,88.8,8.0,4.8
1980,Hyundai EON Era Plus,Kolkata,2012,60000,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.99
1981,Hyundai i10 Magna 1.2,Hyderabad,2010,70600,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.8
1982,Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance,Bangalore,2011,25000,Petrol,Automatic,Second,12.3,1796.0,88.8,5.0,22.0
